Console,Empresa,Geração,Preco de lançamento,Vendas
Magnavox Odyssey,Magnavox,First,US$100,"350,000"
Odyssey series,"Magnavox,Philips",First,US$100–230,Unknown
TV Tennis Electrotennis,Epoch Co.,First,"JP¥19,500","20,000"
Home Pong,"Atari,Sears Tele-Games",First,US$98.95,"150,000"
Coleco Telstar series,Coleco,First,US$50,1 million
Color TV-Game series,Nintendo,First,"JP¥9800–48,000",1.5 million
Fairchild Channel F,Fairchild Semiconductor,Second,US$169.95,0.25 million
Atari VCS/2600,Atari,Second,US$199,
Bally Astrocade,Bally Technologies,Second,US$299,Unknown
Magnavox Odyssey²,Magnavox,Second,US$200,2 million
Intellivision,Mattel,Second,US$299,3 million
Emerson Arcadia 2001,Emerson Radio Corporation,Second,US$200,Unknown
ColecoVision,Coleco,Second,US$175,2 million
Atari 5200,Atari,Second,US$270,1 million
Vectrex,General Consumer Electric andMilton Bradley,Second,US$199,Unknown
Microvision,Milton Bradley,Second,US$49.99,
Entex Select-A-Game,Entex Industries,Second,US$59,
Adventure Vision,Entex Industries,Second,US$79.99,
Super Micro,Palmtex,Second,US$39.95,
Epoch Game Pocket Computer,Epoch,Second,"¥12,800",
Game & Watch,Nintendo,Second,"¥5,800",
SG-1000,Sega,Third,"JP¥15,000",
Famicom/Nintendo Entertainment System (NES),Nintendo,Third,"JP¥14,800",
Sega Mark III/Master System,Sega,Third,"JP¥15,000",
Atari 7800,Atari,Third,US$140,
TurboGrafx-16,NEC,Fourth,US$199.99,10 million
Mega Drive/Genesis,Sega,Fourth,US$189.99,35.25 million
Super NES,Nintendo,Fourth,US$199.99,
Neo Geo,SNK,Fourth,US$649.99(Gold,
Game Boy,Nintendo,Fourth,"¥12,500",
Atari Lynx,Atari,Fourth,US$189.99,
Game Gear,Sega,Fourth,"¥14,500US$149.99",
TurboExpress,NEC,Fourth,US$299.99,
